Currency,Rate
AED,4.191639
AFN,82.165555
ALL,99.438342
AMD,444.446435
ANG,2.056751
AOA,1040.76316
ARS,1344.3075
AUD,1.776042
AWG,2.056991
AZN,1.937053
BAM,1.966887
BBD,2.304792
BDT,138.690565
BGN,1.956566
BHD,0.430052
BIF,3347.103589
BMD,1.141188
BND,1.499828
BOB,7.904383
BRL,6.451365
BSD,1.141535
BTC,1.2135467e-05
BTN,97.014156
BWP,15.647931
BYN,3.735592
BYR,22367.279354
BZD,2.292895
CAD,1.580026
CDF,3283.196906
CHF,0.937132
CLF,0.027954
CLP,1072.704891
CNY,8.316633
CNH,8.312137
COP,4812.502743
CRC,577.153336
CUC,1.141188
CUP,30.241475
CVE,110.889095
CZK,24.95127
DJF,202.812119
DKK,7.464543
DOP,67.269187
DZD,151.084149
EGP,58.009647
ERN,17.117816
ETB,152.794535
EUR,1
FJD,2.571442
FKP,0.857134
GBP,0.850133
GEL,3.127067
GGP,0.857134
GHS,17.459106
GIP,0.857134
GMD,81.661324
GNF,9878.120664
GTQ,8.791557
GYD,238.809861
HKD,8.852227
HNL,29.592811
HRK,7.536745
HTG,149.361933
HUF,404.158453
IDR,19171.497257
ILS,4.136982
IMP,0.857134
INR,97.360944
IQD,1495.328969
IRR,48044.002711
ISK,146.095097
JEP,0.857134
JMD,180.827717
JOD,0.809213
JPY,162.247793
KES,147.498246
KGS,99.796862
KHR,4569.658444
KMF,493.558879
KPW,1027.06895
KRW,1639.892441
KWD,0.349866
KYD,0.951346
KZT,585.404718
LAK,24689.740051
LBP,102275.874833
LKR,341.877115
LRD,228.291849
LSL,21.312435
LTL,3.369631
LVL,0.690293
LYD,6.245148
MAD,10.583968
MDL,19.55388
MGA,5076.549099
MKD,61.54672
MMK,2396.356391
MNT,4075.064856
MOP,9.119566
MRU,45.179274
MUR,51.638725
MVR,17.5855
MWK,1978.920226
MXN,22.36607
MYR,4.978967
MZN,73.036423
NAD,21.312435
NGN,1833.808127
NIO,42.006787
NOK,11.811465
NPR,155.222931
NZD,1.912098
OMR,0.439369
PAB,1.14151
PEN,4.18358
PGK,4.726602
PHP,64.385989
PKR,320.787791
PLN,4.265657
PYG,9140.523908
QAR,4.160717
RON,4.97889
RSD,117.874442
RUB,94.32161
RWF,1610.234345
SAR,4.280873
SBD,9.533838
SCR,16.308755
SDG,685.282584
SEK,10.944436
SGD,1.493718
SHP,0.896794
SLE,25.904189
SLL,23930.117409
SOS,652.360117
SRD,42.052532
STD,23620.2818
SVC,9.988215
SYP,14837.638206
SZL,21.305912
THB,38.070478
TJS,12.042571
TMT,4.005569
TND,3.403588
TOP,2.672773
TRY,43.872482
TTD,7.747536
TWD,37.011568
TZS,3069.795156
UAH,47.587226
UGX,4186.599299
USD,1.141188
UYU,48.060489
UZS,14790.241001
VES,98.149773
VND,29670.880776
VUV,137.606895
WST,3.154224
XAF,659.660969
XAG,0.034422
XAU,0.000341
XCD,3.084117
XDR,0.819179
XOF,659.669689
XPF,119.331742
YER,279.647694
ZAR,21.121627
ZMK,10272.069403
ZMW,31.875982
ZWL,367.461981
